Name,Position,Rating
Fallen,MID,95
BEAST/SkyyNet,ATK/GK,92
slicer,MID,91
abe,ATK,90
k1eran01,ATK,89
Krythx,ATK,88
glade/Jay-,ATK,87
meany,MID,86
smasher/R0D/shaq,ATK/DEF/DEF,85
mamastroso/Anthony_3176,MID/GK,85
