Name,Position,Rating
Fallen,MID,94
BEAST,ATK,92
slicer,MID,90
k1eran01,ATK,89
Krythx,ATK,88
abe,ATK,88
meany,MID,87
SkyyNet,GK,87
Jay-,ATK,86
glade,MID,86
